,OperatorID,OperatorName,IsOpen24Hours,ChargingStationId,lastUpdate,HotlinePhoneNum,ClearinghouseID,OpeningTimes,ChargingStationName,EnChargingStationName,HubOperatorID,Plugs,Accessibility,EvseID,DynamicInfoAvailable,ChargingFacilities,IsHubjectCompatible,ChargingModes,MaxCapacity,PaymentOptions,AdditionalInfo,ChargingPoolID,deltaType,ValueAddedServices,AuthenticationModes,Address.City,Address.Country,Address.HouseNum,Address.PostalCode,Address.Street,Address.Floor,Address.Region,Address.Timezone,GeoCoordinates.Google,GeoChargingPointEntrance.Google
0,CH*BVS,Backpackers Villa Sonnenhof,False,CH*BVS*E001*0001,,,,,CH*BVS*E001*0001,,,['Type 2 Connector (Cable Attached)'],Free publicly accessible,CH*BVS*E001*0001,false,[{'power': 22.0}],False,,,['Direct'],,,,['None'],['Direct Payment'],Interlaken,CHE,16,3800,Alpenstrasse,,,,46.68459 7.86187,None None
1,CH*BVS,Backpackers Villa Sonnenhof,False,CH*BVS*E001*0001,,,,,CH*BVS*E001*0001,,,['Type 2 Outlet'],Free publicly accessible,CH*BVS*E001*0002,false,[{'power': 11.0}],False,,,['Direct'],,,,['None'],['Direct Payment'],Interlaken,CHE,16,3800,Alpenstrasse,,,,46.68459 7.86187,None None
2,CH*BVS,Backpackers Villa Sonnenhof,False,CH*BVS*E001*0001,,,,,CH*BVS*E001*0001,,,"['IEC 60309 Three Phase', 'IEC 60309 Single Phase', 'Type J Swiss Standard']",Free publicly accessible,CH*BVS*E001*0003,false,"[{'power': 11.0}, {'power': 3.7}, {'power': 3.7}]",False,,,['Direct'],,,,['None'],['Direct Payment'],Interlaken,CHE,16,3800,Alpenstrasse,,,,46.68459 7.86187,None None
3,CH*EWO,Elektrizitätswerk Obwalden,False,CH*EWO*E123*0001,,416665100,,,CH*EWO*E123*0001,,,"['Type 2 Outlet', 'Type 2 Outlet']",Free publicly accessible,CH*EWO*E123*0001,false,"[{'power': 11}, {'power': 11}]",False,,,['No Payment'],,,,['None'],['REMOTE'],Sarnen,CHE,7,6060,Bahnhofplatz,,,,46.89538 8.2476,None None
4,CH*EWO,Elektrizitätswerk Obwalden,False,CH*EWO*E123*0002,,416665100,,,CH*EWO*E123*0002,,,"['Type 2 Outlet', 'Type 2 Outlet']",Free publicly accessible,CH*EWO*E123*0002,false,"[{'power': 11}, {'power': 11}]",False,,,['No Payment'],,,,['None'],['REMOTE'],Sachseln,CHE,1,6072,Bahnhofplatz,,,,46.87077 8.23782,None None
5,CH*EWO,Elektrizitätswerk Obwalden,False,CH*EWO*E123*0003,,416665100,,,CH*EWO*E123*0003,,,"['Type 2 Outlet', 'Type 2 Outlet']",Free publicly accessible,CH*EWO*E123*0003,false,"[{'power': 11}, {'power': 11}]",False,,,['No Payment'],,,,['None'],['REMOTE'],Giswil,CHE,nan,6074,Gorgenstrasse,,,,46.83674 8.18736,None None
6,CH*EWO,Elektrizitätswerk Obwalden,False,CH*EWO*E123*0004,,416665100,,,CH*EWO*E123*0004,,,"['Type 2 Outlet', 'Type 2 Outlet']",Free publicly accessible,CH*EWO*E123*0004,false,"[{'power': 11}, {'power': 11}]",False,,,['No Payment'],,,,['None'],['REMOTE'],Lungern,CHE,nan,6078,Bahnhofstrasse,,,,46.78573 8.16329,None None
7,CH*EWO,Elektrizitätswerk Obwalden,False,CH*EWO*E123*0005,,416665100,,,CH*EWO*E123*0005,,,"['Type 2 Outlet', 'Type 2 Outlet']",Free publicly accessible,CH*EWO*E123*0005,false,"[{'power': 11}, {'power': 11}]",False,,,['No Payment'],,,,['None'],['REMOTE'],Alpnach,CHE,1,6055,Bahnhofplatz,,,,46.94119 8.27574,None None
8,CH*EWO,Elektrizitätswerk Obwalden,False,CH*EWO*E123*0006,,416665100,,,CH*EWO*E123*0006,,,"['Type 2 Outlet', 'Type 2 Outlet']",Free publicly accessible,CH*EWO*E123*0006,false,"[{'power': 11}, {'power': 11}]",False,,,['No Payment'],,,,['None'],['REMOTE'],Engelberg,CHE,nan,6390,Bahnhof,,,,46.81965 8.40193,None None
9,CH*EWO,Elektrizitätswerk Obwalden,False,CH*EWO*E123*0007,,416665100,,,CH*EWO*E123*0007,,,"['Type 2 Outlet', 'Type 2 Outlet']",Free publicly accessible,CH*EWO*E123*0007,false,"[{'power': 11}, {'power': 11}]",False,,,['No Payment'],,,,['None'],['REMOTE'],Kerns,CHE,5,6064,Sarnerstrasse,,,,46.90111 8.27367,None None
