"evseid","operatorname","geom","lat","lng","num_occupied","num_tot","power","municipal_typologie","population_hect","occupied_ratio"
"CH*SWIEE31688","Swisscharge","010100002008080000AE86C9D0C292444192984FA766B33241","1225574.65355829","2696581.63115009","9","10873","60",3,8,"0.00082773843465464913"
"CH*SWIEE31688","Swisscharge","010100002008080000AE86C9D0C292444192984FA766B33241","1225574.65355829","2696581.63115009","9","10873","60",3,9,"0.00082773843465464913"
"CH*SWIEE31688","Swisscharge","010100002008080000AE86C9D0C292444192984FA766B33241","1225574.65355829","2696581.63115009","9","10873","60",3,8,"0.00082773843465464913"
"CH*E4U*E00574","easy4you","010100002008080000B202F8EECBC5444158190D944FA43241","1221711.57832487","2722711.86694368","0","2871","22.08",7,3,"0.00000000000000000000"
"CH*E4U*E00574","easy4you","010100002008080000B202F8EECBC5444158190D944FA43241","1221711.57832487","2722711.86694368","0","2871","22.08",7,3,"0.00000000000000000000"
"CH*E4U*E00574","easy4you","010100002008080000B202F8EECBC5444158190D944FA43241","1221711.57832487","2722711.86694368","0","2871","22.08",7,3,"0.00000000000000000000"
"CH*CCI*E20271","Move","01010000200808000006BA55658D6344411C6B356598183341","1251480.39534635","2672410.79167867","12","7441","22",2,97,"0.00161268646687273216"
"CH*CCI*E20271","Move","01010000200808000006BA55658D6344411C6B356598183341","1251480.39534635","2672410.79167867","12","7441","22",2,101,"0.00161268646687273216"
"CH*CCI*E20271","Move","01010000200808000006BA55658D6344411C6B356598183341","1251480.39534635","2672410.79167867","12","7441","22",2,96,"0.00161268646687273216"
"CH*REPE024*01*1","PLUG’N ROLL","0101000020080800009AD74ECF7631454124CF0584EB493241","1198571.51571364","2777837.61959357","50","18792","22",7,41,"0.00266070668369518944"
"CH*REPE024*01*1","PLUG’N ROLL","0101000020080800009AD74ECF7631454124CF0584EB493241","1198571.51571364","2777837.61959357","50","18792","22",7,41,"0.00266070668369518944"
"CH*REPE024*01*1","PLUG’N ROLL","0101000020080800009AD74ECF7631454124CF0584EB493241","1198571.51571364","2777837.61959357","50","18792","22",7,42,"0.00266070668369518944"
"CH*CCI*EBA*7802*4","Move","01010000200808000019738D0ADCE143414DF36C97B83F3341","1261496.5915062","2606008.0824417","0","18429","22",3,16,"0.000000000000000000000000"
"CH*CCI*EBA*7802*4","Move","01010000200808000019738D0ADCE143414DF36C97B83F3341","1261496.5915062","2606008.0824417","0","18429","22",3,18,"0.000000000000000000000000"
"CH*CCI*EBA*7802*4","Move","01010000200808000019738D0ADCE143414DF36C97B83F3341","1261496.5915062","2606008.0824417","0","18429","22",3,16,"0.000000000000000000000000"
"CH*CCI*E20278","Move","010100002008080000C028AB846FE043415C0D2302A3BF3241","1228707.00834735","2605279.03647336","3","18105","22",5,30,"0.00016570008285004143"
"CH*CCI*E20278","Move","010100002008080000C028AB846FE043415C0D2302A3BF3241","1228707.00834735","2605279.03647336","3","18105","22",5,28,"0.00016570008285004143"
"CH*CCI*E20278","Move","010100002008080000C028AB846FE043415C0D2302A3BF3241","1228707.00834735","2605279.03647336","3","18105","22",5,30,"0.00016570008285004143"
"CH*CCI*EBA*7325*4","Move","01010000200808000072B0E92A60C243418BD5704B2E863241","1213998.29469046","2589888.33525663","717","18426","22",4,101,"0.03891240638228590036"
"CH*CCI*EBA*7325*4","Move","01010000200808000072B0E92A60C243418BD5704B2E863241","1213998.29469046","2589888.33525663","717","18426","22",4,99,"0.03891240638228590036"
"CH*CCI*EBA*7325*4","Move","01010000200808000072B0E92A60C243418BD5704B2E863241","1213998.29469046","2589888.33525663","717","18426","22",4,95,"0.03891240638228590036"
"CH*SWIEE4363","Swisscharge","0101000020080800004595E66C77EB4341FB41386745523341","1266245.40320217","2610926.85078684","979","18201","22",1,48,"0.05378825339267073238"
"CH*SWIEE4363","Swisscharge","0101000020080800004595E66C77EB4341FB41386745523341","1266245.40320217","2610926.85078684","979","18201","22",1,41,"0.05378825339267073238"
"CH*SWIEE4363","Swisscharge","0101000020080800004595E66C77EB4341FB41386745523341","1266245.40320217","2610926.85078684","979","18201","22",1,48,"0.05378825339267073238"
"CH*SWIEE3353","Swisscharge","01010000200808000036567DAB7ECA44412E71F808B7143341","1250487.03504093","2725117.33976247","86","18579","22",8,3,"0.00462888207115560579"
"CH*SWIEE3353","Swisscharge","01010000200808000036567DAB7ECA44412E71F808B7143341","1250487.03504093","2725117.33976247","86","18579","22",8,3,"0.00462888207115560579"
"CH*SWIEE3353","Swisscharge","01010000200808000036567DAB7ECA44412E71F808B7143341","1250487.03504093","2725117.33976247","86","18579","22",8,4,"0.00462888207115560579"
"CH*E4U*E00653","Ost-mobil","010100002008080000C05F5772FEC24441FC77AC173B323341","1258043.09247541","2721276.89329144","0","2871","50",4,55,"0.00000000000000000000"
"CH*E4U*E00653","Ost-mobil","010100002008080000C05F5772FEC24441FC77AC173B323341","1258043.09247541","2721276.89329144","0","2871","50",4,54,"0.00000000000000000000"
"CH*E4U*E00653","Ost-mobil","010100002008080000C05F5772FEC24441FC77AC173B323341","1258043.09247541","2721276.89329144","0","2871","50",4,56,"0.00000000000000000000"
"CH*CCI*E20185","Move","010100002008080000FB49CFD49FCB43413A1DEA00F8F93241","1243640.0035723","2594623.66257596","19","18426","22",5,3,"0.00103115163356127212"
"CH*CCI*E20185","Move","010100002008080000FB49CFD49FCB43413A1DEA00F8F93241","1243640.0035723","2594623.66257596","19","18426","22",5,3,"0.00103115163356127212"
"CH*CCI*E20185","Move","010100002008080000FB49CFD49FCB43413A1DEA00F8F93241","1243640.0035723","2594623.66257596","19","18426","22",5,3,"0.00103115163356127212"
"CH*SWIEE10304","Swisscharge","0101000020080800006D6EDF1553CE43419A250239A4473241","1197988.22268901","2596006.17088108","190","18568","100",1,4,"0.01023265833692373977"
"CH*SWIEE10304","Swisscharge","0101000020080800006D6EDF1553CE43419A250239A4473241","1197988.22268901","2596006.17088108","190","18568","100",1,4,"0.01023265833692373977"
"CH*SWIEE10304","Swisscharge","0101000020080800006D6EDF1553CE43419A250239A4473241","1197988.22268901","2596006.17088108","190","18568","100",1,4,"0.01023265833692373977"
"CH*CCI*E20046","Move","0101000020080800005BF14111DB104341C3CD6E36B7123141","1118903.21262823","2498998.13482491","961","18411","22",1,362,"0.05219705610776166422"
"CH*CCI*E20046","Move","0101000020080800005BF14111DB104341C3CD6E36B7123141","1118903.21262823","2498998.13482491","961","18411","22",1,359,"0.05219705610776166422"
"CH*CCI*E20046","Move","0101000020080800005BF14111DB104341C3CD6E36B7123141","1118903.21262823","2498998.13482491","961","18411","22",1,366,"0.05219705610776166422"
"CH*SWIEE2405","Swisscharge","010100002008080000A0621E80FBE04441D30BA1F1B01E3341","1253040.94386362","2736631.00092728","312","18745","22",2,29,"0.01664443851693785009"
"CH*SWIEE2405","Swisscharge","010100002008080000A0621E80FBE04441D30BA1F1B01E3341","1253040.94386362","2736631.00092728","312","18745","22",2,26,"0.01664443851693785009"
"CH*SWIEE2405","Swisscharge","010100002008080000A0621E80FBE04441D30BA1F1B01E3341","1253040.94386362","2736631.00092728","312","18745","22",2,28,"0.01664443851693785009"
"CH*CCC*EBU*8610*3","Move","010100002008080000483F629EA08F4441272A665DCEFD3241","1244622.36484016","2694977.23737327","65","18353","20",2,8,"0.00354165531520732305"
"CH*CCC*EBU*8610*3","Move","010100002008080000483F629EA08F4441272A665DCEFD3241","1244622.36484016","2694977.23737327","65","18353","20",2,8,"0.00354165531520732305"
"CH*CCC*EBU*8610*3","Move","010100002008080000483F629EA08F4441272A665DCEFD3241","1244622.36484016","2694977.23737327","65","18353","20",2,8,"0.00354165531520732305"
"CH*SWIEE4317","Swisscharge","01010000200808000054385315AD9A4441E1DF1E4423FD3241","1244451.26609611","2700634.16660217","142","18627","22",3,3,"0.00762334245987008107"
"CH*SWIEE4317","Swisscharge","01010000200808000054385315AD9A4441E1DF1E4423FD3241","1244451.26609611","2700634.16660217","142","18627","22",3,3,"0.00762334245987008107"
"CH*SWIEE4317","Swisscharge","01010000200808000054385315AD9A4441E1DF1E4423FD3241","1244451.26609611","2700634.16660217","142","18627","22",3,3,"0.00762334245987008107"
"CH*CCI*E20198","Move","010100002008080000A23E0E17C4E94341840541ACC2473341","1263554.67286715","2610056.18012221","12","18399","22",3,7,"0.00065220935920430458"
"CH*CCI*E20198","Move","010100002008080000A23E0E17C4E94341840541ACC2473341","1263554.67286715","2610056.18012221","12","18399","22",3,3,"0.00065220935920430458"
"CH*CCI*E20198","Move","010100002008080000A23E0E17C4E94341840541ACC2473341","1263554.67286715","2610056.18012221","12","18399","22",3,3,"0.00065220935920430458"
"CH*REPE064*01*1","PLUG’N ROLL","0101000020080800005E9DB5870E32454132D63563A9783141","1145001.38754023","2778141.06022994","165","18792","22.08",5,7,"0.00878033205619412516"
"CH*REPE064*01*1","PLUG’N ROLL","0101000020080800005E9DB5870E32454132D63563A9783141","1145001.38754023","2778141.06022994","165","18792","22.08",5,6,"0.00878033205619412516"
"CH*REPE064*01*1","PLUG’N ROLL","0101000020080800005E9DB5870E32454132D63563A9783141","1145001.38754023","2778141.06022994","165","18792","22.08",5,9,"0.00878033205619412516"
"CH*E4U*E00713","easy4you","010100002008080000C95B90DBD43B45416BB23D7AE11B3241","1186785.47750392","2783145.71534297","0","2871","50",4,44,"0.00000000000000000000"
"CH*E4U*E00713","easy4you","010100002008080000C95B90DBD43B45416BB23D7AE11B3241","1186785.47750392","2783145.71534297","0","2871","50",4,41,"0.00000000000000000000"
"CH*E4U*E00713","easy4you","010100002008080000C95B90DBD43B45416BB23D7AE11B3241","1186785.47750392","2783145.71534297","0","2871","50",4,38,"0.00000000000000000000"
"CH*CCI*EBA*6610*7","Move","010100002008080000C59A32C5DC004441CFBF4F291BE33241","1237787.16137313","2621881.54060683","194","18411","22",7,65,"0.01053717886046385313"
"CH*CCI*EBA*6610*7","Move","010100002008080000C59A32C5DC004441CFBF4F291BE33241","1237787.16137313","2621881.54060683","194","18411","22",7,67,"0.01053717886046385313"
"CH*CCI*EBA*6610*7","Move","010100002008080000C59A32C5DC004441CFBF4F291BE33241","1237787.16137313","2621881.54060683","194","18411","22",7,60,"0.01053717886046385313"
"CH*REPE023*01*1","PLUG’N ROLL","0101000020080800002DD0328E72874541FC69ECB2C8D23141","1168072.69891989","2821861.1109257","9389","18792","22.08",9,3,"0.49962750106428267348"
"CH*REPE023*01*1","PLUG’N ROLL","0101000020080800002DD0328E72874541FC69ECB2C8D23141","1168072.69891989","2821861.1109257","9389","18792","22.08",9,3,"0.49962750106428267348"
"CH*REPE023*01*1","PLUG’N ROLL","0101000020080800002DD0328E72874541FC69ECB2C8D23141","1168072.69891989","2821861.1109257","9389","18792","22.08",9,3,"0.49962750106428267348"
"CH*E4U*E00215","easy4you","0101000020080800009AF3A2BC7F4B4441A5499165077A3141","1145351.39674816","2660095.47372289","0","2871","22.08",8,3,"0.00000000000000000000"
"CH*E4U*E00215","easy4you","0101000020080800009AF3A2BC7F4B4441A5499165077A3141","1145351.39674816","2660095.47372289","0","2871","22.08",8,3,"0.00000000000000000000"
"CH*E4U*E00215","easy4you","0101000020080800009AF3A2BC7F4B4441A5499165077A3141","1145351.39674816","2660095.47372289","0","2871","22.08",8,3,"0.00000000000000000000"
"CH*SWIEE16586","Swisscharge","010100002008080000F3BE81A8CCA24441153632F483EC3241","1240195.95389116","2704793.31645953","140","18390","22",5,3,"0.00761283306144643828"
"CH*SWIEE16586","Swisscharge","010100002008080000F3BE81A8CCA24441153632F483EC3241","1240195.95389116","2704793.31645953","140","18390","22",5,3,"0.00761283306144643828"
"CH*SWIEE16586","Swisscharge","010100002008080000F3BE81A8CCA24441153632F483EC3241","1240195.95389116","2704793.31645953","140","18390","22",5,3,"0.00761283306144643828"
"CH*CCI*EBB*3765*2","Move","010100002008080000F990D8109C1A4341E13C42D9050A3141","1116677.84866696","2503992.13160908","407","18426","22",3,263,"0.02208835341365461847"
"CH*CCI*EBB*3765*2","Move","010100002008080000F990D8109C1A4341E13C42D9050A3141","1116677.84866696","2503992.13160908","407","18426","22",3,265,"0.02208835341365461847"
"CH*CCI*EBB*3765*2","Move","010100002008080000F990D8109C1A4341E13C42D9050A3141","1116677.84866696","2503992.13160908","407","18426","22",3,264,"0.02208835341365461847"
"CH*SWIEE15522","Swisscharge","0101000020080800000186B76FB6D94341E39184FBC95F3241","1204169.98249161","2601836.87278819","170","18423","22",3,5,"0.00922759593985778646"
"CH*SWIEE15522","Swisscharge","0101000020080800000186B76FB6D94341E39184FBC95F3241","1204169.98249161","2601836.87278819","170","18423","22",3,5,"0.00922759593985778646"
"CH*SWIEE15522","Swisscharge","0101000020080800000186B76FB6D94341E39184FBC95F3241","1204169.98249161","2601836.87278819","170","18423","22",3,5,"0.00922759593985778646"
"CH*SWIEE27289","Swisscharge","01010000200808000074C3630DEA5B444152B3E07391243341","1254545.45264741","2668500.10460704","57","18883","60",3,3,"0.00301858814806969232"
"CH*SWIEE27289","Swisscharge","01010000200808000074C3630DEA5B444152B3E07391243341","1254545.45264741","2668500.10460704","57","18883","60",3,3,"0.00301858814806969232"
"CH*SWIEE27289","Swisscharge","01010000200808000074C3630DEA5B444152B3E07391243341","1254545.45264741","2668500.10460704","57","18883","60",3,3,"0.00301858814806969232"
"CHEVPE2692","evpass","010100002008080000A134B9664B9F43412F25571360DD3041","1105248.07554848","2571926.80252703","149","18898","50.0",4,21,"0.00788443221504921156"
"CHEVPE2692","evpass","010100002008080000A134B9664B9F43412F25571360DD3041","1105248.07554848","2571926.80252703","149","18898","50.0",4,23,"0.00788443221504921156"
"CHEVPE2692","evpass","010100002008080000A134B9664B9F43412F25571360DD3041","1105248.07554848","2571926.80252703","149","18898","50.0",4,23,"0.00788443221504921156"
"CH*CCI*E20256","Move","0101000020080800009E704CD5B1274441184420F0EF063341","1246959.93799234","2641763.66639526","0","18408","22",5,16,"0.000000000000000000000000"
"CH*CCI*E20256","Move","0101000020080800009E704CD5B1274441184420F0EF063341","1246959.93799234","2641763.66639526","0","18408","22",5,13,"0.000000000000000000000000"
"CH*CCI*E20256","Move","0101000020080800009E704CD5B1274441184420F0EF063341","1246959.93799234","2641763.66639526","0","18408","22",5,16,"0.000000000000000000000000"
"CHEVPE1387","evpass","01010000200808000034A6FCB334A84341D1C7110D8A0D3241","1183114.05105256","2576489.40614774","226","18686","22.0",5,94,"0.01209461629027079097"
"CHEVPE1387","evpass","01010000200808000034A6FCB334A84341D1C7110D8A0D3241","1183114.05105256","2576489.40614774","226","18686","22.0",5,89,"0.01209461629027079097"
"CHEVPE1387","evpass","01010000200808000034A6FCB334A84341D1C7110D8A0D3241","1183114.05105256","2576489.40614774","226","18686","22.0",5,95,"0.01209461629027079097"
"CH*CCI*EBA*9453*4","Move","01010000200808000094334BE2C88E4341873E1CAAFFC03141","1163519.66449347","2563473.76791997","73","18429","22",8,4,"0.00396114819035216235"
"CH*CCI*EBA*9453*4","Move","01010000200808000094334BE2C88E4341873E1CAAFFC03141","1163519.66449347","2563473.76791997","73","18429","22",8,4,"0.00396114819035216235"
"CH*CCI*EBA*9453*4","Move","01010000200808000094334BE2C88E4341873E1CAAFFC03141","1163519.66449347","2563473.76791997","73","18429","22",8,3,"0.00396114819035216235"
"CH*E4U*E00336","Ost-mobil","0101000020080800008D4F2721F67E4541E0631842DB1A3241","1186523.25818466","2817516.25901217","0","2871","22.08",9,3,"0.00000000000000000000"
"CH*E4U*E00336","Ost-mobil","0101000020080800008D4F2721F67E4541E0631842DB1A3241","1186523.25818466","2817516.25901217","0","2871","22.08",9,3,"0.00000000000000000000"
"CH*E4U*E00336","Ost-mobil","0101000020080800008D4F2721F67E4541E0631842DB1A3241","1186523.25818466","2817516.25901217","0","2871","22.08",9,3,"0.00000000000000000000"
"CH*E4U*E00217","easy4you","010100002008080000AB48904B3E31444170F530CB674D3141","1133927.7937158","2646652.59034069","0","2871","22.08",9,37,"0.00000000000000000000"
"CH*E4U*E00217","easy4you","010100002008080000AB48904B3E31444170F530CB674D3141","1133927.7937158","2646652.59034069","0","2871","22.08",9,26,"0.00000000000000000000"
"CH*E4U*E00217","easy4you","010100002008080000AB48904B3E31444170F530CB674D3141","1133927.7937158","2646652.59034069","0","2871","22.08",9,35,"0.00000000000000000000"
"CH*E4U*E00430","Ost-mobil","0101000020080800009D85C213C2404541B3E96003479C3141","1154119.01319752","2785668.15437384","0","2871","22.08",5,6,"0.00000000000000000000"
"CH*E4U*E00430","Ost-mobil","0101000020080800009D85C213C2404541B3E96003479C3141","1154119.01319752","2785668.15437384","0","2871","22.08",5,6,"0.00000000000000000000"
"CH*E4U*E00430","Ost-mobil","0101000020080800009D85C213C2404541B3E96003479C3141","1154119.01319752","2785668.15437384","0","2871","22.08",5,8,"0.00000000000000000000"
"CH*E4U*E00253","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","2871","50",3,3,"0.00000000000000000000"
"CH*E4U*E00253","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","2871","50",3,3,"0.00000000000000000000"
"CH*E4U*E00253","easy4you","010100002008080000918BE563947F44415E7197E4CCED3241","1240524.89293583","2686760.78044266","0","2871","50",3,3,"0.00000000000000000000"
"CH*REPE155*01*1","PLUG’N ROLL","01010000200808000093A750B6415A4441075949979A763241","1210010.59096295","2667651.42433638","7","6643","22",1,44,"0.00105374077976817703"
"CH*REPE155*01*1","PLUG’N ROLL","01010000200808000093A750B6415A4441075949979A763241","1210010.59096295","2667651.42433638","7","6643","22",1,38,"0.00105374077976817703"
"CH*REPE155*01*1","PLUG’N ROLL","01010000200808000093A750B6415A4441075949979A763241","1210010.59096295","2667651.42433638","7","6643","22",1,45,"0.00105374077976817703"
"CH*E4U*E00270","Ost-mobil","0101000020080800005EC3C9D86F00454105E78495F73A3341","1260279.58405918","2752735.69365732","0","2871","22.08",5,36,"0.00000000000000000000"
"CH*E4U*E00270","Ost-mobil","0101000020080800005EC3C9D86F00454105E78495F73A3341","1260279.58405918","2752735.69365732","0","2871","22.08",5,45,"0.00000000000000000000"
"CH*E4U*E00270","Ost-mobil","0101000020080800005EC3C9D86F00454105E78495F73A3341","1260279.58405918","2752735.69365732","0","2871","22.08",5,41,"0.00000000000000000000"
"CH*E4U*E00479","easy4you","010100002008080000F4AD77D6CEAF444131F6A22A1DDF3241","1236765.1665491","2711453.67552733","0","2871","50",7,12,"0.00000000000000000000"
"CH*E4U*E00479","easy4you","010100002008080000F4AD77D6CEAF444131F6A22A1DDF3241","1236765.1665491","2711453.67552733","0","2871","50",7,14,"0.00000000000000000000"
"CH*E4U*E00479","easy4you","010100002008080000F4AD77D6CEAF444131F6A22A1DDF3241","1236765.1665491","2711453.67552733","0","2871","50",7,12,"0.00000000000000000000"
"CH*IBA*EAC019","Eniwa","0101000020080800009CAEA31F292A444192FB55C052153341","1250642.75131199","2643026.24718268","117","16205","22.2",5,76,"0.00721999382906510336"
"CH*IBA*EAC019","Eniwa","0101000020080800009CAEA31F292A444192FB55C052153341","1250642.75131199","2643026.24718268","117","16205","22.2",5,71,"0.00721999382906510336"
"CH*IBA*EAC019","Eniwa","0101000020080800009CAEA31F292A444192FB55C052153341","1250642.75131199","2643026.24718268","117","16205","22.2",5,74,"0.00721999382906510336"
"CH*E4U*E00169","Ost-mobil","010100002008080000B8EB6C99BFC944416F1494A37B313341","1257851.63897827","2724735.1986365","0","2871","20",5,3,"0.00000000000000000000"
"CH*E4U*E00169","Ost-mobil","010100002008080000B8EB6C99BFC944416F1494A37B313341","1257851.63897827","2724735.1986365","0","2871","20",5,3,"0.00000000000000000000"
"CH*E4U*E00169","Ost-mobil","010100002008080000B8EB6C99BFC944416F1494A37B313341","1257851.63897827","2724735.1986365","0","2871","20",5,3,"0.00000000000000000000"
