"region","weektime","hour","num_occupied","num_tot","occupied_ratio"
"city centers","weekday","0","7896","178635","0.04420186413636745319"
"city centers","weekday","1","7727","178726","0.04323377684276490270"
"city centers","weekday","2","7488","176339","0.04246366373859441190"
"city centers","weekday","3","7456","176195","0.04231675132665512642"
"city centers","weekday","4","7267","171287","0.04242587003100060133"
"city centers","weekday","5","7302","174042","0.04195539007825697245"
"city centers","weekday","6","7087","171436","0.04133904197484775660"
"city centers","weekday","7","7392","176585","0.04186086020896452134"
"city centers","weekday","8","7711","174161","0.04427512474090066088"
"city centers","weekday","9","8733","176619","0.04944541640480356021"
"city centers","weekday","10","9889","176556","0.05601055755680917103"
"city centers","weekday","11","10862","176535","0.06152887529385107769"
"city centers","weekday","12","10785","176120","0.06123665682489211901"
"city centers","weekday","13","11134","176260","0.06316804720299557472"
"city centers","weekday","14","11289","174233","0.06479254790998260949"
"city centers","weekday","15","11214","176604","0.06349799551539036488"
"city centers","weekday","16","10667","173312","0.06154795974889217134"
"city centers","weekday","17","10835","179757","0.06027581679712055720"
"city centers","weekday","18","10281","181173","0.05674686625490553228"
"city centers","weekday","19","10693","186455","0.05734895819366603202"
"city centers","weekday","20","10729","184166","0.05825722446054103363"
"city centers","weekday","21","10454","185325","0.05640901119654660731"
"city centers","weekday","22","9340","179214","0.05211646411552668876"
"city centers","weekday","23","9027","179265","0.05035561877667140825"
"city centers","weekend","0","45375","1041178","0.04358044445810418584"
"city centers","weekend","1","44295","1040221","0.04258229741564532921"
"city centers","weekend","2","42967","1023216","0.04199211114759737924"
"city centers","weekend","3","43386","1031860","0.04204640164363382629"
"city centers","weekend","4","42707","1024467","0.04168704311607889761"
"city centers","weekend","5","43055","1030486","0.04178125661095832452"
"city centers","weekend","6","44577","1015242","0.04390775795327616470"
"city centers","weekend","7","52171","1047165","0.04982118386309702864"
"city centers","weekend","8","57445","1048881","0.05476789073307648818"
"city centers","weekend","9","65796","1074115","0.06125601076234853810"
"city centers","weekend","10","67882","1059853","0.06404850483982212628"
"city centers","weekend","11","70792","1061864","0.06666767118953086271"
"city centers","weekend","12","72924","1079643","0.06754454944828985137"
"city centers","weekend","13","72315","1087376","0.06650413472432718765"
"city centers","weekend","14","70367","1072842","0.06558934120774540892"
"city centers","weekend","15","69194","1059236","0.06532444138983191659"
"city centers","weekend","16","65813","1038471","0.06337490406568888298"
"city centers","weekend","17","64625","1070794","0.06035241138818484228"
"city centers","weekend","18","60927","1045555","0.05827240078235960806"
"city centers","weekend","19","61765","1065384","0.05797440171806597433"
"city centers","weekend","20","58374","1049105","0.05564171365115979811"
"city centers","weekend","21","55301","1054478","0.05244395805317891886"
"city centers","weekend","22","50925","1050761","0.04846487450523953592"
"city centers","weekend","23","47458","1039575","0.04565134790659644566"
"country side","weekday","0","6945","146496","0.04740743774574049803"
"country side","weekday","1","6861","146517","0.04682733061692499846"
"country side","weekday","2","6726","142836","0.04708896916743678064"
"country side","weekday","3","6684","144204","0.04635100274610967796"
"country side","weekday","4","6518","138876","0.04693395547106771508"
"country side","weekday","5","6657","143985","0.04623398270653193041"
"country side","weekday","6","6624","137943","0.04801983427937626411"
"country side","weekday","7","6597","144870","0.04553737833920066266"
"country side","weekday","8","6615","141909","0.04661437963765511701"
"country side","weekday","9","6948","145440","0.04777227722772277228"
"country side","weekday","10","7061","145281","0.04860236369518381619"
"country side","weekday","11","7244","145326","0.04984655189023299341"
"country side","weekday","12","7662","145548","0.05264242724049798005"
"country side","weekday","13","7636","145668","0.05242057280940220227"
"country side","weekday","14","7091","142146","0.04988532916860129726"
"country side","weekday","15","7194","145206","0.04954340729721912318"
"country side","weekday","16","7335","141845","0.05171137509253057915"
"country side","weekday","17","7772","146931","0.05289557683538531692"
"country side","weekday","18","8035","145464","0.05523703459275147115"
"country side","weekday","19","7930","152322","0.05206076600884967372"
"country side","weekday","20","7788","149193","0.05220084052200840522"
"country side","weekday","21","7670","151705","0.05055865001153554596"
"country side","weekday","22","6709","146241","0.04587632743211548061"
"country side","weekday","23","6527","146262","0.04462539825792071762"
"country side","weekend","0","38872","854458","0.04549316642830893970"
"country side","weekend","1","38824","853420","0.04549225469288275410"
"country side","weekend","2","38267","829928","0.04610881907828148948"
"country side","weekend","3","37696","846665","0.04452292228921710476"
"country side","weekend","4","38049","834406","0.04560010354671466888"
"country side","weekend","5","37955","854344","0.04442589870122573577"
"country side","weekend","6","39574","819278","0.04830350625794907223"
"country side","weekend","7","45166","860748","0.05247296537430235098"
"country side","weekend","8","50288","855303","0.05879553795555493199"
"country side","weekend","9","51780","885185","0.05849624654733191367"
"country side","weekend","10","51074","873078","0.05849878246846215344"
"country side","weekend","11","51850","874495","0.05929136244346737260"
"country side","weekend","12","50539","890863","0.05673038390863690601"
"country side","weekend","13","51917","898006","0.05781364489769556105"
"country side","weekend","14","52241","875213","0.05968946987761836262"
"country side","weekend","15","52137","873392","0.05969484492644768901"
"country side","weekend","16","49693","852605","0.05828373044962204069"
"country side","weekend","17","47022","877383","0.05359347058240243998"
"country side","weekend","18","44297","842803","0.05255913896841847976"
"country side","weekend","19","43155","873814","0.04938694047016870867"
"country side","weekend","20","42440","852285","0.04979554961075227183"
"country side","weekend","21","41067","865869","0.04742865260218347117"
"country side","weekend","22","40448","862778","0.04688112121542273911"
"country side","weekend","23","39468","853076","0.04626551444419957894"
"rest","weekday","0","14377","456112","0.03152076682919984565"
"rest","weekday","1","14115","456168","0.03094254748250644499"
"rest","weekday","2","13370","446374","0.02995246138888017671"
"rest","weekday","3","13633","447954","0.03043392848372823995"
"rest","weekday","4","13270","431751","0.03073530808266801930"
"rest","weekday","5","13592","447199","0.03039362789272784599"
"rest","weekday","6","13419","431833","0.03107451260093600999"
"rest","weekday","7","14211","447826","0.03173330713268099664"
"rest","weekday","8","14312","439598","0.03255701800281165974"
"rest","weekday","9","15905","449370","0.03539399603889890291"
"rest","weekday","10","16840","449443","0.03746860002269475773"
"rest","weekday","11","17395","449590","0.03869080717987499722"
"rest","weekday","12","18306","449385","0.04073567208518308355"
"rest","weekday","13","18325","449029","0.04081028174126838133"
"rest","weekday","14","17719","439666","0.04030104670363412227"
"rest","weekday","15","17897","447185","0.04002146762525576663"
"rest","weekday","16","17148","434956","0.03942467743863747138"
"rest","weekday","17","17810","456575","0.03900783003887641680"
"rest","weekday","18","18157","458617","0.03959076964002642728"
"rest","weekday","19","18920","475183","0.03981623921731206714"
"rest","weekday","20","17559","466153","0.03766789015623625719"
"rest","weekday","21","16776","472314","0.03551874388648229779"
"rest","weekday","22","15076","455057","0.03312991559299164720"
"rest","weekday","23","14233","455148","0.03127114696757977625"
"rest","weekend","0","79364","2661727","0.02981673176850969314"
"rest","weekend","1","78369","2660082","0.02946112187519031368"
"rest","weekend","2","74386","2595893","0.02865526429633270709"
"rest","weekend","3","76687","2636579","0.02908579640511435462"
"rest","weekend","4","75939","2602970","0.02917398202822160839"
"rest","weekend","5","77272","2661117","0.02903743052259633830"
"rest","weekend","6","81611","2572238","0.03172762396014676713"
"rest","weekend","7","92104","2669367","0.03450406032591247288"
"rest","weekend","8","102692","2659919","0.03860719067009183362"
"rest","weekend","9","114730","2746001","0.04178075681691303099"
"rest","weekend","10","116329","2709803","0.04292895092373873673"
"rest","weekend","11","119657","2715194","0.04406941087819139259"
"rest","weekend","12","122178","2761903","0.04423689028905070164"
"rest","weekend","13","124722","2782655","0.04482122289683773231"
"rest","weekend","14","121261","2718594","0.04460430649078163198"
"rest","weekend","15","119527","2698318","0.04429685455902528909"
"rest","weekend","16","115147","2625058","0.04386455461174572143"
"rest","weekend","17","113148","2736022","0.04135493062555783543"
"rest","weekend","18","103631","2655115","0.03903070111840730063"
"rest","weekend","19","100843","2726062","0.03699218873231790033"
"rest","weekend","20","93165","2663588","0.03497725624233177203"
"rest","weekend","21","89865","2697409","0.03331530368587040378"
"rest","weekend","22","85083","2689167","0.03163916558547684097"
"rest","weekend","23","81250","2659069","0.03055580731451496746"
"touristic","weekday","0","2694","45384","0.05936012691697514543"
"touristic","weekday","1","2634","45293","0.05815468173890005078"
"touristic","weekday","2","2617","44116","0.05932088131290234835"
"touristic","weekday","3","2550","44644","0.05711853776543320491"
"touristic","weekday","4","2418","42596","0.05676589351112780543"
"touristic","weekday","5","2552","44970","0.05674894374027129197"
"touristic","weekday","6","2220","39818","0.05575367924054447737"
"touristic","weekday","7","2484","44872","0.05535746122303440899"
"touristic","weekday","8","2549","43579","0.05849147525184148328"
"touristic","weekday","9","2660","44760","0.05942806076854334227"
"touristic","weekday","10","2715","44892","0.06047848168938786421"
"touristic","weekday","11","3264","44847","0.07278078801257609205"
"touristic","weekday","12","3373","44865","0.07518109885211189123"
"touristic","weekday","13","3260","44897","0.07261064213644564225"
"touristic","weekday","14","3352","43654","0.07678563247354194346"
"touristic","weekday","15","3561","44738","0.07959676337788904287"
"touristic","weekday","16","3207","44221","0.07252210488229574184"
"touristic","weekday","17","3323","45288","0.07337484543366896308"
"touristic","weekday","18","2851","41619","0.06850236670751339532"
"touristic","weekday","19","3180","46810","0.06793420209356975005"
"touristic","weekday","20","3181","45571","0.06980316429308112615"
"touristic","weekday","21","2936","46569","0.06304623247224548519"
"touristic","weekday","22","2385","45174","0.05279585602337627839"
"touristic","weekday","23","2319","45180","0.05132802124833997344"
"touristic","weekend","0","12728","263793","0.04824995356207329232"
"touristic","weekend","1","12633","263136","0.04800939438161255016"
"touristic","weekend","2","12479","254855","0.04896509780071020777"
"touristic","weekend","3","12390","261682","0.04734754396557653946"
"touristic","weekend","4","12130","255107","0.04754867565374529119"
"touristic","weekend","5","12488","265912","0.04696290502121002437"
"touristic","weekend","6","11238","237277","0.04736236550529549851"
"touristic","weekend","7","12986","265423","0.04892567712669964547"
"touristic","weekend","8","14034","261975","0.05356999713713140567"
"touristic","weekend","9","14250","271709","0.05244581519198848768"
"touristic","weekend","10","15065","268483","0.05611156013602350987"
"touristic","weekend","11","16039","269141","0.05959329867987411803"
"touristic","weekend","12","16459","273504","0.06017827892827892828"
"touristic","weekend","13","17102","276040","0.06195478916099116070"
"touristic","weekend","14","17805","267590","0.06653836092529616204"
"touristic","weekend","15","17535","268265","0.06536447169776154176"
"touristic","weekend","16","17582","265016","0.06634316418631327920"
"touristic","weekend","17","16984","270814","0.06271463070594577828"
"touristic","weekend","18","15426","243437","0.06336752424651963342"
"touristic","weekend","19","16176","269557","0.06000957125951097542"
"touristic","weekend","20","15267","261539","0.05837370334825781241"
"touristic","weekend","21","14634","267262","0.05475525888454026386"
"touristic","weekend","22","13810","266272","0.05186425910347314025"
"touristic","weekend","23","13342","263409","0.05065126855954048647"
