"municipal_typologie_id","municipal_typologie","weekday","hour","num_occupied","num_tot","occupied_ratio"
8,"Agrargemeinden","friday   ","0","386","42141","0.00915972568282670084"
8,"Agrargemeinden","friday   ","1","393","42179","0.00931743284572891723"
8,"Agrargemeinden","friday   ","2","386","41524","0.00929582891821597149"
8,"Agrargemeinden","friday   ","3","384","42006","0.00914155120697043280"
8,"Agrargemeinden","friday   ","4","384","41042","0.00935626918766142001"
8,"Agrargemeinden","friday   ","5","369","41541","0.00888279049613634722"
8,"Agrargemeinden","friday   ","6","553","40263","0.01373469438442242257"
8,"Agrargemeinden","friday   ","7","890","42141","0.02111957476092166773"
8,"Agrargemeinden","friday   ","8","1226","41313","0.02967588894536828601"
8,"Agrargemeinden","friday   ","9","1422","42856","0.03318088482359529587"
8,"Agrargemeinden","friday   ","10","1528","41643","0.03669284153399130706"
8,"Agrargemeinden","friday   ","11","1608","42057","0.03823382552250517155"
8,"Agrargemeinden","friday   ","12","1230","41786","0.02943569616618006031"
8,"Agrargemeinden","friday   ","13","1222","42066","0.02904958874150145010"
8,"Agrargemeinden","friday   ","14","1209","41187","0.02935392235414086969"
8,"Agrargemeinden","friday   ","15","1191","41609","0.02862361508327525295"
8,"Agrargemeinden","friday   ","16","1203","40654","0.02959118413932208393"
8,"Agrargemeinden","friday   ","17","877","41937","0.02091232086224574958"
8,"Agrargemeinden","friday   ","18","746","40269","0.01852541657354292384"
8,"Agrargemeinden","friday   ","19","774","42072","0.01839703365658870508"
8,"Agrargemeinden","friday   ","20","748","41327","0.01809954751131221719"
8,"Agrargemeinden","friday   ","21","626","40438","0.01548048864929027153"
8,"Agrargemeinden","friday   ","22","528","38343","0.01377044049761364525"
8,"Agrargemeinden","friday   ","23","492","38406","0.01281049835963130761"
8,"Agrargemeinden","monday   ","0","408","41069","0.00993450047481068446"
8,"Agrargemeinden","monday   ","1","353","39904","0.00884623095429029671"
8,"Agrargemeinden","monday   ","2","336","38576","0.00871007880547490668"
8,"Agrargemeinden","monday   ","3","330","38739","0.00851854720049562456"
8,"Agrargemeinden","monday   ","4","324","37879","0.00855355210010823939"
8,"Agrargemeinden","monday   ","5","326","38672","0.00842987174182871328"
8,"Agrargemeinden","monday   ","6","381","37532","0.01015133752531173399"
8,"Agrargemeinden","monday   ","7","725","39097","0.01854362227280865540"
8,"Agrargemeinden","monday   ","8","1090","40140","0.02715495764823119083"
8,"Agrargemeinden","monday   ","9","1171","40782","0.02871364817811779707"
8,"Agrargemeinden","monday   ","10","1313","40862","0.03213254368361803142"
8,"Agrargemeinden","monday   ","11","1252","41028","0.03051574534464268305"
8,"Agrargemeinden","monday   ","12","1124","42199","0.02663570226782625181"
8,"Agrargemeinden","monday   ","13","1028","43512","0.02362566648280933995"
8,"Agrargemeinden","monday   ","14","1106","42817","0.02583086157367400799"
8,"Agrargemeinden","monday   ","15","1242","41870","0.02966324337234296632"
8,"Agrargemeinden","monday   ","16","1102","39690","0.02776518014613252708"
8,"Agrargemeinden","monday   ","17","1028","40767","0.02521647410896067898"
8,"Agrargemeinden","monday   ","18","801","39559","0.02024823681083950555"
8,"Agrargemeinden","monday   ","19","674","41350","0.01629987908101571947"
8,"Agrargemeinden","monday   ","20","583","40982","0.01422575764969986823"
8,"Agrargemeinden","monday   ","21","552","41772","0.01321459350761275496"
8,"Agrargemeinden","monday   ","22","540","41766","0.01292917684240770004"
8,"Agrargemeinden","monday   ","23","484","41135","0.01176613589400753616"
8,"Agrargemeinden","saturday ","0","472","39659","0.01190145994603999092"
8,"Agrargemeinden","saturday ","1","456","40071","0.01137980085348506401"
8,"Agrargemeinden","saturday ","2","456","39372","0.01158183480646144468"
8,"Agrargemeinden","saturday ","3","492","40598","0.01211882358736883590"
8,"Agrargemeinden","saturday ","4","516","40369","0.01278208526344472244"
8,"Agrargemeinden","saturday ","5","473","41178","0.01148671620768371460"
8,"Agrargemeinden","saturday ","6","636","40174","0.01583113456464379947"
8,"Agrargemeinden","saturday ","7","853","41952","0.02033276125095347063"
8,"Agrargemeinden","saturday ","8","1217","41436","0.02937059561733758085"
8,"Agrargemeinden","saturday ","9","1357","40830","0.03323536615233896645"
